torque_ts
Ek: 1e-06,
Rat: 20.0,
0.0004620846036055280,896189.2668988920
0.00046308460360552800,897169.6078869900
0.0004640846036055280,898166.0407388640
0.0004650846036055280,899171.3403047230
0.0004660846036055280,900178.9672941130
0.0004670846036055280,901183.1501988420
0.00046808460360552800,902178.906070145
0.0004690846036055280,903162.0075509510
0.00047008460360552800,904128.9029673780
0.0004710846036055280,905076.600755473
0.00047208460360552800,906002.5377682690
0.0004730846036055280,906904.4547807010
0.00047408460360552800,907780.2979297810
0.00047508460360552800,908628.1531696420
0.0004760846036055280,909446.2114505380
0.00047708460360552800,910232.761474472
0.0004780846036055280,910986.2114181890
0.00047908460360552800,911705.141771064
0.000480084603605528,912388.3839656090
0.000481084603605528,913035.1091064010
0.000482084603605528,913644.9074955570
0.000483084603605528,914217.8437318780
0.0004840846036055280,914754.4815644860
0.0004850846036055280,915255.8789022160
0.0004860846036055280,915723.5589313880
0.00048708460360552800,916159.462682085
0.00048808460360552800,916565.8854011680
0.0004890846036055280,916945.3927259420
0.0004900846036055280,917300.7111510280
0.0004910846036055280,917634.594463126
0.0004920846036055280,917949.679951441
0.0004930846036055280,918248.3556277950
0.0004940846036055280,918532.6557557280
0.0004950846036055280,918804.1920476970
0.0004960846036055280,919064.1207624120
0.0004970846036055280,919313.1457762460
0.0004980846036055280,919551.5594324920
0.0004990846036055280,919779.3198437220
0.0005000846036055280,919996.1559785420
0.0005010846036055290,920201.6862401530
0.0005020846036055290,920395.5371388420
0.0005030846036055290,920577.4536583820
0.0005040846036055280,920747.3960376840
0.0005050846036055290,920905.6174703720
0.0005060846036055290,921052.7157607500
0.0005070846036055290,921189.6548407010
0.0005080846036055290,921317.759162692
0.0005090846036055290,921438.6921942310
0.0005100846036055290,921554.43342969
0.0005110846036055290,921667.2638267930
0.0005120846036055290,921779.7604462170
0.0005131179632559270,921898.5355565810
0.0005141179948364060,922019.5678926920
0.0005151180264168840,922149.943915172
0.0005161180579973630,922293.3971469080
0.0005171180895778410,922453.7508002530
0.0005181181211583190,922635.0728677230
0.0005191181527387980,922841.9604303120
0.0005201181843192760,923079.363745525
0.0005211182158997540,923352.1314850780
0.0005221182474802330,923664.9622837490
0.0005231182790607110,924022.6993839330
0.0005241183106411900,924430.3572247440
0.000525118342221668,924892.7605104860
0.0005261183738021460,925414.1759129590
0.0005271184053826250,925998.2119440230
0.0005281184369631030,926647.93662504
0.0005291184685435820,927365.9298348810
0.0005301185001240600,928154.1040663820
0.0005311185317045380,929013.4989588480
0.0005321185632850170,929944.316090064
0.000533118594865495,930946.163647185
0.0005341186264459730,932018.3022169840
0.0005351186580264520,933159.7540296100
0.0005361186896069300,934369.322867608
0.0005371187211874090,935645.6883263470
0.000538118752767887,936987.5815736780
0.0005391187843483650,938393.886114323
0.0005401188159288440,939863.6647746600
0.0005411188475093220,941396.1838917540
0.0005421188790898010,942990.8340287930
0.0005431189106702790,944646.9697138260
0.0005441189422507570,946363.8527097240
0.0005451189738312360,948140.5467909750
0.000546119005411714,949975.56810228
0.0005471190369921920,951866.6741869280
0.0005481190685726710,953811.0644333160
0.0005491191001531490,955805.4858386070
0.0005501191317336280,957845.9581011370
0.0005511191633141060,959927.6657704460
0.0005521191948945840,962045.2942213210
0.0005531192264750630,964193.3486908210
0.0005541192580555410,966366.217564096
0.0005551192896360200,968558.2015955220
0.0005561193212164980,970763.5779899130
0.0005571193527969760,972976.6771366650
0.0005581193843774550,975192.0955828310
0.000559119415957933,977404.9618334270
0.0005601194475384110,979610.97680569
0.0005611194791188900,981806.2705651720
0.0005621195106993680,983987.353687764
0.0005631195422798470,986151.1994582330
0.0005641195738603250,988295.282335342
0.0005651196054408030,990417.4738091890
0.0005661196370212820,992515.8438734320
0.00056711966860176,994588.5288309270
0.0005681197001822380,996633.7592386620
0.0005691197317627170,998649.8849537660
0.0005701197633431950,1000635.2374651000
0.0005711197949236740,1002587.9858613900
0.000572119826504152,1004506.138161450
0.0005731198580846300,1006387.507423690
0.0005741198896651090,1008229.5094008500
0.0005751199212455870,1010028.9956542
0.0005761199528260660,1011782.2803966000
0.0005771199844065440,1013485.2314905100
0.0005781200159870220,1015133.2916134000
0.0005791200475675010,1016721.4437366900
0.000580120079147979,1018244.1956158900
0.0005811201107284570,1019695.7194283900
0.0005821201423089360,1021070.2083987300
0.0005831201738894140,1022362.2271166900
0.0005841202054698930,1023566.831143070
0.0005851202370503710,1024679.6344892600
0.0005861202686308490,1025697.094080370
0.0005871203002113280,1026616.8780564
0.0005881203317918060,1027438.0460600200
0.0005891203633722850,1028161.0918360900
0.0005901204171867740,1028787.6478131500
0.0005910926960519200,1029308.3309806600
0.0005920649749170650,1029746.0432594800
0.0005930372537822100,1030106.6202331200
0.0005940095326473550,1030396.607687910
0.0005951207084932350,1030651.077555640
0.0005960929873583810,1030815.9703227300
0.0005970652662235260,1030936.6305146100
0.0005980375450886710,1031022.4353828700
0.000599009823953816,1031082.8092589700
0.0006001209997996960,1031133.0162881100
0.0006010932786648420,1031171.3872598900
0.0006020655575299870,1031214.4430584700
0.0006030378363951320,1031271.0571702200
0.000604010115260277,1031349.443929340
0.0006051212911061570,1031475.3854721500
0.0006060935699713020,1031625.1850526800
0.0006070658488364480,1031818.3884899300
0.0006080381277015930,1032060.0321076100
0.000609010406566738,1032353.8795671500
0.0006101215824126180,1032756.8509713900
0.0006110938612777630,1033169.8599239500
0.0006120661401429080,1033639.8393997100
0.0006130384190080540,1034166.327291420
0.0006140106978731990,1034747.7048365400
0.0006151218737190790,1035475.8067338400
0.0006160941525842240,1036164.5178158700
0.0006170664314493700,1036896.915855320
0.0006180387103145150,1037668.1969800700
0.00061901098917966,1038473.107941710
0.0006201221650255400,1039426.8879403
0.0006210944438906850,1040284.3689396400
0.0006220667227558300,1041156.8485491400
0.0006230390016209760,1042038.1105657300
0.0006240112804861210,1042921.7290733100
0.0006251224563320010,1043926.0000437800
0.0006260947351971460,1044792.3135050100
0.0006270670140622910,1045639.6910815400
0.0006280392929274370,1046460.7265861500
0.0006290115717925820,1047247.8047185700
0.000630122747638462,1048095.9194724800
0.0006310950265036070,1048784.3789519900
0.0006320673053687520,1049414.6617343100
0.0006330395842338980,1049979.1580336600
0.0006340118630990430,1050470.523179610
0.0006351230389449230,1050933.790440080
0.0006360953178100680,1051246.5824151100
0.0006370675966752130,1051468.2000782500
0.0006380398755403590,1051595.3494012000
0.0006390121544055040,1051625.881450890
0.0006401233302513840,1051541.3646366100
0.0006410956091165290,1051363.604481350
0.0006420678879816740,1051091.143917510
0.0006430401668468200,1050727.3465358500
0.0006440124457119650,1050276.5435315700
0.0006451236215578450,1049661.51496423
0.00064609590042299,1049042.908351700
0.0006470681792881350,1048356.4773899700
0.0006480404581532800,1047609.8067557700
0.0006490127370184260,1046811.0680070400
0.0006501239128643060,1045845.6466591400
0.000651096191729451,1044965.0673577600
0.0006520684705945960,1044060.7506022200
0.0006530407494597410,1043142.1500443300
0.0006540130283248870,1042218.783833760
0.0006551242041707670,1041169.692854090
0.000656096483035912,1040267.3301607000
0.0006570687619010570,1039388.5039586100
0.0006580410407662020,1038540.992538970
0.0006590133196313480,1037731.6332160700
0.0006601244954772280,1036860.9026960800
0.0006610967743423730,1036151.9024695800
0.0006620690532075180,1035496.0251004100
0.0006630413320726630,1034895.583916160
0.0006640136109378090,1034351.7775259000
0.0006651247867836890,1033799.7809975800
0.0006660970656488340,1033376.565301530
0.000667069344513979,1033007.2517838900
0.0006680416233791240,1032689.2650042200
0.0006690139022442690,1032419.31761573
0.0006701250780901500,1032164.5744772300
0.0006710973569552950,1031983.8105119800
0.00067206963582044,1031837.5399897100
0.0006730419146855850,1031720.935407940
0.0006740141935507300,1031628.9266350700
0.0006751253693966110,1031547.198389270
0.0006760976482617560,1031490.395037740
0.0006770699271269010,1031442.0596835300
0.0006780422059920460,1031397.1900726700
0.0006790144848571910,1031350.7385782500
0.0006801256607030720,1031289.3464320700
0.0006810979395682170,1031223.019822960
0.0006820702184333620,1031140.1127145300
0.0006830424972985070,1031036.1760335900
0.0006840147761636520,1030907.0320426000
0.0006851259520095330,1030723.67603134
0.0006860982308746780,1030527.942403130
0.0006870705097398230,1030295.7442448900
0.000688042788604968,1030024.116334090
0.0006890150674701130,1029710.603415620
0.0006901262433159930,1029298.3611667200
0.0006910985221811390,1028888.41605559
0.0006920708010462840,1028431.0334947200
0.000693043079911429,1027925.3887467200
0.0006940153587765740,1027371.2345306300
0.0006951265346224550,1026679.0857758500
0.0006961265928837480,1026003.0506288500
0.0006971266511450410,1025278.4723067200
0.0006981267094063340,1024507.4334092400
0.0006991267676676260,1023693.1349211700
0.0007001268259289190,1022839.6638582900
0.000701126884190212,1021951.6052715100
0.0007021269424515050,1021034.2945856500
0.0007031270007127980,1020093.9967113300
0.0007041270589740910,1019137.583942550
0.0007051271172353830,1018172.109226840
0.0007061271754966760,1017204.529737370
0.0007071272337579690,1016241.6060212700
0.0007081272920192620,1015289.8719751900
0.0007091273502805550,1014355.4017297600
0.0007101274085418480,1013443.342861100
0.0007111274668031400,1012557.5810207300
0.0007121275250644330,1011700.7692516600
0.0007131275833257260,1010874.528043110
0.0007141276415870190,1010079.5205262500
0.0007151276998483120,1009315.318271270
0.0007161277581096050,1008580.2161092000
0.0007171278163708970,1007871.2857236500
0.0007181278746321900,1007184.7806466100
0.0007191279328934830,1006516.6143489000
0.000720127991154776,1005862.5930666800
0.0007211280494160690,1005218.4584129600
0.0007221281076773620,1004579.957015810
0.0007231281659386550,1003942.9891395000
0.0007241282241999470,1003303.8049414200
0.0007251282824612400,1002659.189918140
0.0007261283407225330,1002006.52984354
0.0007271283989838260,1001343.8150644300
0.0007281284572451190,1000669.7748635900
0.0007291285155064120,999984.0330367210
0.0007301285737677040,999287.0183136190
0.0007311286320289970,998579.7758686320
0.00073212869029029,997864.0119676880
0.0007331287485515830,997142.259973176
0.0007341288068128760,996417.8155124230
0.0007351288650741690,995694.4154868170
0.0007361289233354610,994975.9213920940
0.0007371289815967540,994266.2088723090
0.000738129039858047,993569.225385779
0.0007391290981193400,992888.9347810880
0.0007401291563806330,992228.9581113170
0.0007411292146419260,991592.1577040750
0.0007421292729032190,990980.521355953
0.0007431293311645110,990395.2620318430
0.0007441293894258040,989836.7773174660
0.000745129447687097,989304.3984764290
0.0007461295059483900,988796.2256531750
